1,小説・物語,ストーリーや登場人物の心情を楽しむ本,1,一言で紹介するならどんな本ですか
1,小説・物語,ストーリーや登場人物の心情を楽しむ本,2,一番印象に残った登場人物は誰？（好き・嫌い・気になった理由も）
1,小説・物語,ストーリーや登場人物の心情を楽しむ本,3,一番息をのんだ「名シーン」や「名台詞」はどこ？
1,小説・物語,ストーリーや登場人物の心情を楽しむ本,4,この本を読んでいる時、心に一番残った感情は？
1,小説・物語,ストーリーや登場人物の心情を楽しむ本,5,もし自分が物語の中に入れたら、どの場面で主人公にどんな声をかけたい？
1,小説・物語,ストーリーや登場人物の心情を楽しむ本,6,最後に何かあればご自由にお書きください
2,実用書,日常生活ですぐ使えるノウハウを提供する本,1,一言で紹介するならどんな本ですか
2,実用書,日常生活ですぐ使えるノウハウを提供する本,2,「これはすぐ使える！」と膝を打ったテクニックやノウハウは？
2,実用書,日常生活ですぐ使えるノウハウを提供する本,3,読んだ今日・明日から、具体的に試してみたい「小さな一歩（ToDo）」は？
2,実用書,日常生活ですぐ使えるノウハウを提供する本,4,逆に「これは今の自分には合わない・不要だ」と思った部分は？
2,実用書,日常生活ですぐ使えるノウハウを提供する本,5,この本の要点を、まだ読んでいない友達に一言で教えるなら？
2,実用書,日常生活ですぐ使えるノウハウを提供する本,6,最後に何かあればご自由にお書きください
3,ビジネス・自己啓発,ビジネススキルや自己成長を直接扱う本,1,一言で紹介するならどんな本ですか
3,ビジネス・自己啓発,ビジネススキルや自己成長を直接扱う本,2,ページをめくる手が止まった「ハイライトしたい一言（フレーズ）」は？
3,ビジネス・自己啓発,ビジネススキルや自己成長を直接扱う本,3,今までの自分の「常識」や「言い訳」を打ち砕かれた部分はどこ？
3,ビジネス・自己啓発,ビジネススキルや自己成長を直接扱う本,4,この本を読む前と読んだ後で、自分の「行動」や「選択」はどう変わりそう？
3,ビジネス・自己啓発,ビジネススキルや自己成長を直接扱う本,5,1ヶ月後の自分が忘れないように、スマホの待受けにしたいレベルの「教訓」は？
3,ビジネス・自己啓発,ビジネススキルや自己成長を直接扱う本,6,最後に何かあればご自由にお書きください
4,専門書・学習書,特定の分野について専門的・学術的に深く追求するための本,1,一言で紹介するならどんな本ですか
4,専門書・学習書,特定の分野について専門的・学術的に深く追求するための本,2,この本を読む前と後で、一番「解像度が上がった」概念やテーマは？
4,専門書・学習書,特定の分野について専門的・学術的に深く追求するための本,3,専門用語や理論の中で、「なるほど、そういうことか！」とスッキリした部分は？
4,専門書・学習書,特定の分野について専門的・学術的に深く追求するための本,4,読んでいて「ここをもっと調べたい」「まだ謎が残る」と思った課題は？
4,専門書・学習書,特定の分野について専門的・学術的に深く追求するための本,5,この知識を手に入れたことで、次に読んでみたい本や挑戦したいステップは？
4,専門書・学習書,特定の分野について専門的・学術的に深く追求するための本,6,最後に何かあればご自由にお書きください
5,ノンフィクション・伝記,事実に基づいた記録や人物の生涯を描いた本,1,一言で紹介するならどんな本ですか
5,ノンフィクション・伝記,事実に基づいた記録や人物の生涯を描いた本,2,主人公（または登場人物）の「生き方」や「決断」で、一番震えたシーンは？
5,ノンフィクション・伝記,事実に基づいた記録や人物の生涯を描いた本,3,自分がもし同じ時代・同じ立場にいたら、同じ決断ができたと思う？
5,ノンフィクション・伝記,事実に基づいた記録や人物の生涯を描いた本,4,この本を読む前と後で、ニュースや世の中に対する「見え方」はどう変わった？
5,ノンフィクション・伝記,事実に基づいた記録や人物の生涯を描いた本,5,著者の情熱や生き方から、自分の人生に「感染」させたいエネルギーや姿勢は？
5,ノンフィクション・伝記,事実に基づいた記録や人物の生涯を描いた本,6,最後に何かあればご自由にお書きください
